temperature,lambda_min,n_negative,spinodal,lambda_1,lambda_2,lambda_3
300.0,-1.0796884547850878,1,True,-1.0796884547850878,0.24270405125477043,1.1552322992124484
400.0,-1.0107497997092956,1,True,-1.0107497997092956,0.3116427063305626,1.2241709542882409
500.0,-0.9418111446335035,1,True,-0.9418111446335035,0.3805813614063551,1.2931096093640329
600.0,-0.872872489557711,1,True,-0.872872489557711,0.4495200164821473,1.3620482644398253
700.0,-0.803933834481919,1,True,-0.803933834481919,0.5184586715579392,1.4309869195156173
800.0,-0.7349951794061264,1,True,-0.7349951794061264,0.5873973266337322,1.4999255745914095
900.0,-0.6660565243303348,1,True,-0.6660565243303348,0.6563359817095239,1.5688642296672017
1000.0,-0.597117869254542,1,True,-0.597117869254542,0.7252746367853166,1.6378028847429942
1100.0,-0.5281792141787499,1,True,-0.5281792141787499,0.7942132918611085,1.7067415398187864
1200.0,-0.4592405591029575,1,True,-0.4592405591029575,0.8631519469369006,1.7756801948945786
1300.0,-0.3903019040271653,1,True,-0.3903019040271653,0.932090602012693,1.844618849970371
1400.0,-0.3213632489513733,1,True,-0.3213632489513733,1.0010292570884844,1.9135575050461633
1500.0,-0.25242459387558097,1,True,-0.25242459387558097,1.069967912164278,1.9824961601219555
1600.0,-0.18348593879978845,1,True,-0.18348593879978845,1.1389065672400696,2.051434815197748
1700.0,-0.11454728372399606,1,True,-0.11454728372399606,1.2078452223158627,2.12037347027354
1800.0,-0.045608628648203996,1,True,-0.045608628648203996,1.2767838773916549,2.1893121253493324
1900.0,0.023330026427588437,0,False,0.023330026427588437,1.3457225324674464,2.258250780425125
2000.0,0.09226868150338083,0,False,0.09226868150338083,1.4146611875432387,2.327189435500917
2100.0,0.16120733657917283,0,False,0.16120733657917283,1.4835998426190316,2.3961280905767093
2200.0,0.23014599165496538,0,False,0.23014599165496538,1.5525384976948238,2.4650667456525017
2300.0,0.29908464673075724,0,False,0.29908464673075724,1.621477152770616,2.5340054007282937
2400.0,0.3680233018065499,0,False,0.3680233018065499,1.6904158078464093,2.6029440558040866
2500.0,0.4369619568823419,0,False,0.4369619568823419,1.7593544629222009,2.6718827108798786
2600.0,0.5059006119581341,0,False,0.5059006119581341,1.8282931179979927,2.740821365955671
2700.0,0.5748392670339258,0,False,0.5748392670339258,1.8972317730737842,2.809760021031463
2800.0,0.6437779221097187,0,False,0.6437779221097187,1.9661704281495775,2.878698676107256
2900.0,0.7127165771855112,0,False,0.7127165771855112,2.03510908322537,2.9476373311830466
3000.0,0.7816552322613028,0,False,0.7816552322613028,2.104047738301162,3.0165759862588395
